ID  CLA  SIO2  AL2O3  NA2O  K2O  CAO  MGO  FE2O3  TIO2  P2O5  CL  SO3  MNO  
1          1  68.5   1.95   12.5   3.00   8.20   2.70   0.47   0.07   0.40   0.75   0.23    0.95
2          1  68.6   1.40   12.5   2.90   9.05   3.05   0.38   0.06   0.37   0.88   0.28     0.5
3          1  70.0   1.90   11.7   1.45  11.90   1.15   0.30   0.04   0.35   0.60   0.40     0.3
4          1  66.5   0.75   14.9   2.30  10.00   3.70   0.22   0.03   0.45   0.80   0.38    0.26
5          1  69.0   1.80   11.2   2.50  10.20   3.10   0.48   0.06   0.50   0.82   0.15    0.52
6          1  68.0   0.85   13.5   2.00   9.15   3.90   0.42   0.04   0.40   1.00   0.25    0.45
7          1  68.7   0.95   12.3   2.20   9.50   3.40   0.36   0.06   0.32   0.80   0.18    0.71
8          1  66.4   0.70   14.1   2.30  11.20   3.20   0.22   0.03   0.37   0.90   0.30    0.25
9          1  68.0   0.95   14.2   2.75   8.60   3.00   0.32   0.04   0.28   0.75   0.15    0.62
10         1  68.5   0.80   13.5   2.10   9.15   3.75   0.38   0.04   0.35   1.00   0.25     0.4
11         1  65.4   0.75   13.9   2.15  12.30   3.30   0.32   0.04   0.53   0.80   0.43    0.42
12         1  67.7   1.55   11.0   1.95  11.00   3.55   0.57   0.09   0.48   0.75   0.35    0.95
13         1  67.0   0.85   13.8   2.60   9.75   4.15   0.35   0.03   0.30   0.90   0.37     0.3
14         1  66.8   0.90   13.0   3.20  11.10   2.50   0.33   0.03   0.35   0.95   0.17    0.85
15         1  67.5   0.85   14.1   2.95   8.60   3.65   0.35   0.04   0.27   0.80   0.32     0.4
16         1  66.7   1.60   12.3   4.10   9.60   3.40   0.42   0.05   0.20   0.80   0.20    0.58
17         1  66.0   0.80   12.2   2.95  11.80   5.10   0.32   0.04   0.22   0.75   0.22    0.25
18         1  68.4   1.00   13.7   2.00   8.45   4.25   0.33   0.02   0.25   0.75   0.25    0.32
19         2  70.4   1.90   18.2   0.35   6.60   0.75   0.43   0.11   0.08   0.70   0.35   0.075
20         2  67.5   2.90   18.4   0.47   7.40   0.77   0.60   0.08   0.18   0.78   0.10     0.9
21         2  69.8   2.50   17.0   0.70   6.60   0.75   0.55   0.14   0.23   0.75   0.24     0.6
22         2  72.5   2.00   16.6   0.60   5.50   0.60   0.42   0.13   0.05   0.60   0.27   0.075
23         2  66.8   2.10   18.4   0.40   5.10   0.68   4.00   0.07   0.10   0.55   0.38   0.075
24         2  67.0   2.60   18.1   0.65   7.80   0.65   1.15   0.07   0.22   0.50   0.23     0.9
25         2  67.3   2.50   17.1   0.70   7.70   0.62   1.50   0.07   0.21   0.65   0.20     1.2
26         2  62.7   2.60   16.9   0.55   7.30   0.60   7.50   0.09   0.16   0.66   0.32     0.9
27         2  70.2   2.95   16.8   0.55   7.30   0.50   0.30   0.10   0.11   0.55   0.22    0.25
28         2  70.6   2.00   18.3   0.30   5.90   0.70   0.52   0.06   0.08   0.78   0.35    0.15
60         2     67   2.43   18.7   0.59   8.35   0.45   0.14   0.05   0.24   0.85   0.48    0.6
61         2   70.2    1.9   19.2   0.26    5.5   0.54   0.24   0.07   0.07    1.3   0.32      0
62         2   68.3   2.45   18.1   0.37   7.25    0.6    0.4   0.12   0.23   1.35   0.14   0.46
63         2   67.2    2.1   20.2   0.37   6.45   0.48   0.36    0.1   0.15    1.3   0.32   0.27
64         2   68.3   1.75   20.2   0.26      6    0.4   0.25   0.08   0.14   1.35   0.38      0
65         2   70.9      2   18.3   0.41    5.8   0.27   0.24   0.05    0.2    1.3   0.14    0.3
66         2   71.2   1.75   18.1   0.16   5.75   0.47   0.24   0.08   0.12    1.3   0.24      0
67         2     69    2.4   17.3    0.4    8.2   0.54   0.31   0.05   0.28      1    0.2   0.34
68         2   68.3    2.4     18   0.68    7.5   0.54   0.44   0.08   0.28      1    0.2    0.4
69         2   67.6   2.62     18   0.73      8    0.6   0.48   0.07    0.1    1.2   0.18   0.43
70         2   68.6   2.55   18.2   0.66      7    0.5   0.55   0.04    0.2    1.3    0.2    0.1
71         2   68.5    1.7     20   0.38      6    0.5   0.36   0.08   0.03    1.4   0.25     :
72         2   67.5    2.9   18.4   0.47    7.4   0.77    0.6   0.07   0.18    0.8    0.1    0.9
73         2   70.5      2   18.3    0.3    5.9    0.7   0.52   0.05   0.08   0.78   0.35   0.15
29         3  65.3   2.80   17.6   0.76   7.48   1.40   1.30   0.30   0.12   0.85   0.33    1.65
30         3  65.9   2.35   17.9   0.90   7.60   1.35   1.28   0.16   0.14   0.90   0.40     1.1
31         3  65.6   2.50   17.1   0.94   8.30   1.55   1.00   0.17   0.15   0.90   0.40    1.05
32         3  68.3   2.33   16.1   1.00   7.10   1.40   0.95   0.15   0.19   0.96   0.33    0.75
33         3  67.2   2.50   17.2   0.82   7.33   1.00   0.84   0.16   0.12   0.95   0.35    1.05
34         3  67.4   2.35   17.7   0.65   6.90   0.86   0.95   0.16   0.10   1.05   0.35       1
35         3  67.2   2.35   17.1   0.90   7.50   1.40   1.10   0.23   0.17   0.80   0.33    0.74
36         3  65.0   2.30   18.8   0.60   7.20   0.95   1.60   0.08   0.10   0.90   0.37    0.43
37         3  67.6   2.40   17.0   0.67   7.50   0.88   0.77   0.14   0.12   1.05   0.26    0.83
38         3  66.5   2.05   17.1   0.32  10.30   0.95   0.68   0.16   0.06   1.30   0.06    0.07
39         3  67.0   2.10   17.3   0.35   9.60   0.60   0.80   0.25   0.08   1.20   0.35    0.43
40         3  68.3   2.10   14.2   1.84   6.90   2.20   1.10   0.14   0.29   0.90   0.20    1.05
41         3  67.9   1.70   12.6   2.20   9.00   3.00   0.50   0.09   0.32   0.85   0.20       1
42         3  68.5   1.70   12.6   2.10   8.80   3.00   0.49   0.10   0.30   0.98   0.20     1.2
43         3  68.2   1.90   12.6   2.15   8.70   3.30   0.54   0.10   0.46   0.72   0.18    1.05
44         3  69.2   1.95   13.4   2.10   7.30   2.30   0.72   0.12   0.27   0.85   0.20     1.2
45         3  69.0   1.80   12.1   2.25   8.60   2.65   0.65   0.13   0.36   0.86   0.16     1.3
46         3  69.0   1.30   14.6   2.60   7.80   2.40   0.30   0.05   0.30   0.90   0.25    0.35
47         3  68.0   1.70   13.0   2.40   8.60   3.50   0.37   0.08   0.30   0.90   0.18    0.85
48         3  68.3   2.00   12.6   3.05   8.05   2.35   0.60   0.10   0.35   0.85   0.13     1.7
49         3  68.9   2.10   13.0   2.55   7.30   2.45   0.60   0.15   0.35   0.90   0.08     1.5
50         3  61.5   3.90   13.5   2.20  11.60   1.90   1.30   0.23   0.40   1.30   0.10       2
51         3  59.5   7.10   15.0   3.10   6.70   2.50   2.10   0.35   0.50   0.90   0.07     1.9
52         3  64.0   2.40   13.0   3.20  10.00   3.00   0.85   0.15   0.38   0.85   0.17     1.8
53         3  66.0   2.85   12.0   2.40   8.60   2.90   1.35   0.23   0.40   0.80   0.13     2.1
54         3  61.0   4.20   20.0   2.15   5.00   2.40   2.18   0.32   0.27   1.20   0.10     0.8
55         3  61.2   6.40   13.5   3.00   7.10   2.40   1.60   0.28   0.50   0.80   0.11     2.9
56         3  64.8   4.10   11.9   2.45  10.10   1.95   1.20   0.21   0.36   0.80   0.06    2.05
57         3  65.4   4.00   12.9   1.90   8.70   1.50   1.40   0.25   0.45   1.05   0.14     2.2
58         3  67.2   3.80   12.6   2.10   6.40   2.50   1.30   0.17   0.55   0.90   0.14    2.15
59         3  68.2   3.30   12.6   2.70   5.40   2.45   1.30   0.23   0.70   0.80   0.15       2
